,functions
0,GO:0007626
1,GO:0007611
2,GO:0044708
3,GO:0007610
4,GO:0007268
5,GO:0098916
6,GO:0099537
7,GO:0099536
8,GO:0007267
9,GO:0044700
10,GO:0023052
11,GO:0044085
12,GO:0030031
13,GO:0010927
14,GO:0043623
15,GO:0051260
16,GO:0051259
17,GO:0006461
18,GO:0022618
19,GO:0034622
20,GO:0065003
21,GO:0070925
22,GO:0022607
23,GO:0048812
24,GO:0048858
25,GO:0030030
26,GO:0072657
27,GO:0044802
28,GO:0061024
29,GO:0071555
30,GO:0045229
31,GO:0032990
32,GO:0000904
33,GO:0000902
34,GO:0032989
35,GO:0071824
36,GO:0071826
37,GO:0007015
38,GO:0043241
39,GO:0071822
40,GO:0006338
41,GO:0016570
42,GO:0016569
43,GO:0016568
44,GO:0006325
45,GO:0032984
46,GO:0043933
47,GO:0030198
48,GO:0043062
49,GO:0022411
50,GO:0007005
51,GO:0030036
52,GO:0000226
53,GO:0007010
54,GO:0051276
55,GO:0016050
56,GO:1902589
57,GO:0000280
58,GO:0048285
59,GO:0006996
60,GO:0032535
61,GO:0016043
62,GO:0071840
63,GO:0000003
64,GO:0007623
65,GO:0048511
66,GO:0051346
67,GO:0051345
68,GO:0052548
69,GO:0052547
70,GO:0051336
71,GO:0032147
72,GO:0071902
73,GO:0045860
74,GO:0033674
75,GO:0051347
76,GO:0033673
77,GO:0051348
78,GO:0043405
79,GO:0071900
80,GO:0045859
81,GO:0043549
82,GO:0051338
83,GO:0043086
84,GO:0043085
85,GO:0050790
86,GO:0022898
87,GO:0032409
88,GO:0051091
89,GO:0051090
90,GO:0044093
91,GO:0044092
92,GO:0051098
93,GO:0065009
94,GO:0042391
95,GO:0032844
96,GO:0051480
97,GO:0006874
98,GO:0006875
99,GO:0072503
100,GO:0030003
101,GO:0006873
102,GO:0055082
103,GO:0019725
104,GO:0060249
105,GO:0055074
106,GO:0072507
107,GO:0055076
108,GO:0055065
109,GO:0098771
110,GO:0055080
111,GO:0050801
112,GO:0048878
113,GO:0042592
114,GO:0090066
115,GO:0050878
116,GO:0042445
117,GO:0090276
118,GO:0046883
119,GO:0010817
120,GO:0031647
121,GO:0051817
122,GO:0035821
123,GO:0065008
124,GO:0031331
125,GO:0045732
126,GO:0009896
127,GO:0009895
128,GO:0010506
129,GO:0061136
130,GO:1903050
131,GO:1903362
132,GO:0031329
133,GO:0042176
134,GO:0009894
135,GO:0016458
136,GO:0000122
137,GO:0045892
138,GO:0010629
139,GO:0001933
140,GO:0031400
141,GO:0045861
142,GO:0032269
143,GO:0051248
144,GO:1903507
145,GO:1902679
146,GO:0051253
147,GO:2000113
148,GO:0010558
149,GO:0010605
150,GO:0031327
151,GO:0009890
152,GO:0042326
153,GO:0045936
154,GO:0010563
155,GO:0045934
156,GO:0031324
157,GO:0051172
158,GO:0009892
159,GO:0045944
160,GO:0045893
161,GO:0010628
162,GO:0043410
163,GO:0001934
164,GO:0031401
165,GO:0045862
166,GO:0032270
167,GO:0051247
168,GO:1903508
169,GO:1902680
170,GO:0051254
171,GO:0010557
172,GO:0010604
173,GO:0031328
174,GO:0042327
175,GO:0045937
176,GO:0010562
177,GO:0045935
178,GO:0031325
179,GO:0009891
180,GO:0051173
181,GO:0009893
182,GO:0006275
183,GO:0006357
184,GO:0006355
185,GO:0006417
186,GO:2000112
187,GO:1903506
188,GO:2001141
189,GO:0010556
190,GO:0040029
191,GO:0010608
192,GO:0010468
193,GO:0051252
194,GO:0031396
195,GO:1903320
196,GO:0070372
197,GO:0043408
198,GO:0001932
199,GO:0031399
200,GO:0032268
201,GO:0030162
202,GO:0051246
203,GO:0051052
204,GO:0060255
205,GO:0031326
206,GO:0010565
207,GO:1900542
208,GO:0006140
209,GO:0019219
210,GO:0034248
211,GO:0042325
212,GO:0019220
213,GO:0051174
214,GO:0010675
215,GO:0031323
216,GO:0046890
217,GO:0009889
218,GO:0051171
219,GO:0019216
220,GO:0006109
221,GO:0080090
222,GO:0019222
223,GO:2000241
224,GO:0032107
225,GO:0032104
226,GO:0032102
227,GO:0050727
228,GO:0032103
229,GO:0032101
230,GO:0031348
231,GO:0030178
232,GO:1902532
233,GO:0009968
234,GO:0048585
235,GO:0002218
236,GO:0045089
237,GO:0031349
238,GO:1902533
239,GO:0009967
240,GO:0002429
241,GO:0002757
242,GO:0002253
243,GO:0050778
244,GO:0048584
245,GO:0002831
246,GO:0090287
247,GO:2001233
248,GO:0090092
249,GO:0060828
250,GO:0030111
251,GO:0043122
252,GO:1902531
253,GO:0009966
254,GO:0002768
255,GO:0002764
256,GO:0045088
257,GO:0050776
258,GO:1903034
259,GO:0080135
260,GO:0031347
261,GO:0080134
262,GO:0048583
263,GO:0050804
264,GO:0023056
265,GO:0023057
266,GO:0023051
267,GO:0048638
268,GO:0045926
269,GO:0045927
270,GO:0001558
271,GO:0040008
272,GO:0090316
273,GO:0050714
274,GO:0051222
275,GO:1904951
276,GO:1903829
277,GO:0010976
278,GO:0045666
279,GO:0050769
280,GO:0051962
281,GO:0001819
282,GO:0051240
283,GO:0050870
284,GO:0051251
285,GO:0002696
286,GO:0002684
287,GO:1903651
288,GO:0032388
289,GO:1903532
290,GO:0051047
291,GO:0043270
292,GO:0051050
293,GO:0043902
294,GO:0030335
295,GO:2000147
296,GO:0040017
297,GO:0010720
298,GO:0045597
299,GO:0051094
300,GO:0008284
301,GO:0043065
302,GO:0043068
303,GO:0010942
304,GO:0010647
305,GO:0090068
306,GO:0045787
307,GO:0034112
308,GO:1903039
309,GO:0022409
310,GO:0045785
311,GO:0050867
312,GO:0051495
313,GO:0010638
314,GO:0031346
315,GO:0031334
316,GO:0051130
317,GO:0051272
318,GO:0048522
319,GO:0044089
